id,title,dblp_key,publication_type,year,journal,booktitle,source_pids
1031,"A computationally efficient hybrid model for enhancing quality clusters
in visualization",DBLP:journals/cee/KuruvaNRM26,article,2026,Comput. Electr. Eng.,,77/10593;98/6017
551,A novel approach for shortest optimal reduct computation,DBLP:journals/isci/KumarBP26,article,2026,Inf. Sci.,,23/2953
575,Charging station placement for limited energy robots,DBLP:journals/dam/Das26,article,2026,Discret. Appl. Math.,,263/4582-1
485,On the tractability of defensive alliance problem,DBLP:journals/dam/ReddyK26,article,2026,Discret. Appl. Math.,,138/0168
832,"Recommender system for secure mobile application based on permission
pairs using explainable artificial intelligence",DBLP:journals/eswa/TejaswiSB26,article,2026,Expert Syst. Appl.,,63/2890
601,"Securing remote computation with algebraic signature techniques in
trusted execution environments",DBLP:journals/ppna/AlamMAA26,article,2026,Peer Peer Netw. Appl.,,309/7711
486,Structural parameterization of minus domination,DBLP:journals/dam/ReddyK26a,article,2026,Discret. Appl. Math.,,138/0168
184,"Adaptive ensemble loss and multi-scale attention in breast ultrasound
segmentation with UMA-Net",DBLP:journals/mbec/DarG25,article,2025,Medical Biol. Eng. Comput.,,06/10134
175,"Advanced Method for Flow Frequency Estimation and Top-k Heavy Hitters
Detection in SDN Leveraging Programmable Switch",DBLP:conf/icdcn/AlhajBL25,conference,2025,,"Proceedings of the 26th International Conference on Distributed Computing
and Networking, ICDCN 2025, Hyderabad, India, January 4-7, 2025",05/2858;31/9532
665,"Ambiguous Medical Image Segmentation Using Diffusion Schrödinger
Bridge",DBLP:conf/miccai/BaruDCB25,conference,2025,,"Medical Image Computing and Computer Assisted Intervention - MICCAI
2025 - 28th International Conference, Daejeon, South Korea, September
23-27, 2025, Proceedings, Part IV",50/1424
670,"Ambiguous Medical Image Segmentation Using Diffusion Schrödinger
Bridge",DBLP:journals/corr/abs-2509-17187,article,2025,CoRR,,50/1424
906,"A Multi-tiered Solution for Personalized Baggage Item Recommendations
using FastText and Association Rule Mining",DBLP:journals/corr/abs-2501-09359,article,2025,CoRR,,73/4368
870,An efficient block cipher based on multiple optimal quasigroups,DBLP:journals/ijics/KumarV25,article,2025,Int. J. Inf. Comput. Secur.,,66/8044
291,"An energy efficient fog-based internet of things framework to combat
wildlife poaching",DBLP:journals/suscom/SiyanwalAS25,article,2025,Sustain. Comput. Informatics Syst.,,09/1571;97/3869
174,"A novel space-efficient method for detecting network-wide heavy hitters
in software-defined networking using P4-switch",DBLP:journals/iajit/AlhajBL25,article,2025,Int. Arab J. Inf. Technol.,,05/2858;31/9532
203,"Approximated Outlier Selection and Visualization with Approximated
t-SNE",DBLP:conf/miwai/DharamsotuMR25,conference,2025,,"Multi-disciplinary Trends in Artificial Intelligence - 18th International
Conference, MIWAI 2025, Ho Chi Minh City, Vietnam, December 3-5,
2025, Proceedings, Part I",07/5281-1;98/6017
1209,"A review on mid-band and high-band 5G MIMO antenna designs: challenges
and research directions",DBLP:journals/ejwcn/DashAP25,article,2025,EURASIP J. Wirel. Commun. Netw.,,97/3869
3,"A swarm intelligence approach to minimum weight independent dominating
set problem",DBLP:journals/cee/RasheedSM25,article,2025,Comput. Electr. Eng.,,01/1744-1
293,"Big Data and Artificial Intelligence - 12th International Conference,
BDA 2024, Hyderabad, India, December 17-20, 2024, Proceedings",DBLP:conf/bigda/2024,proceedings,2025,,,09/1571
577,Charging Station Placement for Limited Energy Robots,DBLP:conf/caldam/Das25,conference,2025,,"Algorithms and Discrete Applied Mathematics - 11th International Conference,
CALDAM 2025, Coimbatore, India, February 13-15, 2025, Proceedings",263/4582-1
288,"Comparison of distributed Machine Learning frameworks in a fog environment:
Conceptual and Performance analysis",DBLP:journals/iot/SanyadanamS25,article,2025,Internet Things,,09/1571
663,"Correlating instruction-tuning (in multimodal models) with vision-language
processing (in the brain)",DBLP:conf/iclr/OotaJMPGS0S025,conference,2025,,"The Thirteenth International Conference on Learning Representations,
ICLR 2025, Singapore, April 24-28, 2025",50/1424
668,"Correlating instruction-tuning (in multimodal models) with vision-language
processing (in the brain)",DBLP:journals/corr/abs-2505-20029,article,2025,CoRR,,50/1424
605,"DBKE: Design of Blockchain-Envisioned Vehicle-to-Vehicle Secure
Key Management Protocol Using ECC",DBLP:journals/tits/DwivediAKDPA25,article,2025,IEEE Trans. Intell. Transp. Syst.,,309/7711
662,"Deep Neural Networks and Brain Alignment: Brain Encoding and Decoding
(Survey)",DBLP:journals/tmlr/OotaC0SJAH25,article,2025,Trans. Mach. Learn. Res.,,50/1424
289,Distributed edge analytics in edge-fog-cloud continuum,DBLP:journals/itl/Srirama25,article,2025,Internet Technol. Lett.,,09/1571
554,"Diversity among multiple reducts computation with application to ensemble
of classification model",DBLP:journals/ijar/BarKKP25,article,2025,Int. J. Approx. Reason.,,23/2953
604,Emotions in recommender systems for discrepant-users,DBLP:journals/kais/AramandaAV25,article,2025,Knowl. Inf. Syst.,,309/7711
603,"Enhancing intrusion detection against denial of service and distributed
denial of service attacks: Leveraging extended Berkeley packet filter
and machine learning algorithms",DBLP:journals/iet-com/AnandAAPPC25,article,2025,IET Commun.,,309/7711
294,"Evaluating the impact of code smell refactoring on the energy consumption
of Android applications",DBLP:journals/corr/abs-2509-26031,article,2025,CoRR,,09/1571
286,FedStrag: Straggler-aware federated learning for low resource devices,DBLP:journals/dcan/KumarS25,article,2025,Digit. Commun. Networks,,09/1571
576,Finding a largest-area triangle in a terrain in near-linear time,DBLP:journals/comgeo/CabelloDDM25,article,2025,Comput. Geom.,,263/4582-1
1105,"Geometric Preference Elicitation for Minimax Regret Optimization in
Uncertainty Matroids",DBLP:journals/corr/abs-2503-18668,article,2025,CoRR,,95/6184
