id,author1_id,author2_id,collaboration_count,first_collaboration_year,last_collaboration_year,created_at,updated_at
4,4,5,1,2025,2025,2026-01-31 22:35:55.350190,2026-01-31 22:35:55.350191
3,2,4,2,2025,2025,2026-01-31 22:35:55.346756,2026-01-31 22:35:55.361409
8,2,8,1,2024,2024,2026-01-31 22:35:55.387372,2026-01-31 22:35:55.387373
10,5,9,1,2024,2024,2026-01-31 22:35:55.397837,2026-01-31 22:35:55.397837
12,3,5,1,2023,2023,2026-01-31 22:35:55.443240,2026-01-31 22:35:55.443240
6,2,6,3,2023,2024,2026-01-31 22:35:55.365529,2026-01-31 22:35:55.458137
2,2,3,5,2022,2025,2026-01-31 22:35:55.336321,2026-01-31 22:35:55.464493
13,2,11,2,2021,2022,2026-01-31 22:35:55.469027,2026-01-31 22:35:55.488029
14,1,11,2,2021,2022,2026-01-31 22:35:55.472166,2026-01-31 22:35:55.488030
18,7,9,1,2021,2021,2026-01-31 22:35:55.536154,2026-01-31 22:35:55.536154
9,2,9,3,2021,2024,2026-01-31 22:35:55.394773,2026-01-31 22:35:55.545831
15,5,10,2,2021,2021,2026-01-31 22:35:55.496230,2026-01-31 22:35:55.558607
19,10,13,1,2020,2020,2026-01-31 22:35:55.584307,2026-01-31 22:35:55.584313
21,1,7,1,2020,2020,2026-01-31 22:35:55.619096,2026-01-31 22:35:55.619097
22,5,13,1,2019,2019,2026-01-31 22:35:55.640236,2026-01-31 22:35:55.640238
5,2,5,6,2019,2025,2026-01-31 22:35:55.352957,2026-01-31 22:35:55.646881
11,2,10,6,2018,2023,2026-01-31 22:35:55.413793,2026-01-31 22:35:55.664503
7,2,7,8,2016,2024,2026-01-31 22:35:55.379631,2026-01-31 22:35:55.752779
20,2,13,3,2015,2020,2026-01-31 22:35:55.591659,2026-01-31 22:35:55.795854
32,2,20,1,2015,2015,2026-01-31 22:35:55.799935,2026-01-31 22:35:55.799936
31,17,19,2,2015,2017,2026-01-31 22:35:55.740008,2026-01-31 22:35:55.822602
30,2,19,7,2014,2017,2026-01-31 22:35:55.714589,2026-01-31 22:35:55.828269
29,2,18,4,2014,2017,2026-01-31 22:35:55.706354,2026-01-31 22:35:55.839903
24,2,15,4,2014,2018,2026-01-31 22:35:55.676397,2026-01-31 22:35:55.848798
25,15,16,4,2014,2018,2026-01-31 22:35:55.679106,2026-01-31 22:35:55.848799
26,2,16,4,2014,2018,2026-01-31 22:35:55.681296,2026-01-31 22:35:55.848799
33,2,21,1,2014,2014,2026-01-31 22:35:55.853478,2026-01-31 22:35:55.853479
