id,author1_name,author1_is_faculty,author2_name,author2_is_faculty,collaboration_count,first_collaboration_year,last_collaboration_year
702,Satish Narayana Srirama,True,Chii Chang,False,32,2012,2020
1583,Vineet Padmanabhan,True,Arun K. Pujari,True,32,2000,2022
2613,Arun K. Pujari,True,Venkateswara Rao Kagita,False,28,2013,2025
2612,Arun K. Pujari,True,Vikas Kumar,False,26,2015,2025
408,Satish Narayana Srirama,True,Rajkumar Buyya,False,23,2014,2025
113,Siba K. Udgata,True,Samrat L. Sabat,False,23,2009,2016
2637,Vineet Padmanabhan,True,Venkateswara Rao Kagita,False,23,2013,2022
571,Satish Narayana Srirama,True,Pelle Jakovits,False,20,2011,2022
2636,Vineet Padmanabhan,True,Vikas Kumar,False,19,2015,2022
438,Satish Narayana Srirama,True,Chinmaya Kumar Dehury,False,19,2019,2024
499,Satish Narayana Srirama,True,Mainak Adhikari,False,17,2019,2023
1,André Rossi,False,Alok Singh,True,17,2009,2025
2710,Arun K. Pujari,True,Ved Prakash Gulati,False,17,2003,2007
1382,Arun Kumar Das,True,Sandip Das,False,17,2019,2025
2892,Vineet Padmanabhan,True,Guido Governatori,False,17,2001,2011
238,C. Raghavendra Rao,False,Rajeev Wankar,True,16,2009,2019
258,C. Raghavendra Rao,False,Arun Agarwal,True,15,2009,2016
1178,Satish Narayana Srirama,True,Matthias Jarke,False,14,2006,2010
1108,Satish Narayana Srirama,True,Huber Flores,False,14,2011,2015
28,Alok Singh,True,Shyam Sundar,False,13,2010,2018
2050,S. Durga Bhavani,True,T. Sobha Rani,True,12,2003,2024
1616,Vineet Padmanabhan,True,Abdul Sattar,False,11,2000,2024
263,Rajeev Wankar,True,Arun Agarwal,True,11,2008,2016
221,Chillarige Raghavendra Rao,True,Arun Agarwal,True,11,2011,2022
1180,Satish Narayana Srirama,True,Wolfgang Prinz,False,11,2006,2010
500,Satish Narayana Srirama,True,Tarachand Amgoth,False,11,2019,2023
1220,Anjeneya Swami Kare,True,Subrahmanyam Kalyanasundaram,False,10,2016,2022
311,Vadlamani Ravi,False,Nekuri Naveen,True,10,2009,2013
253,C. Raghavendra Rao,False,P. S. V. S. Sai Prasad,True,9,2009,2017
218,Rajeev Wankar,True,Chillarige Raghavendra Rao,True,9,2010,2023
1083,Satish Narayana Srirama,True,Mohan Liyanage,False,9,2014,2018
17,Alok Singh,True,Marc Sevaux,False,9,2009,2021
289,Atul Negi,True,Rajeev Wankar,True,9,2009,2013
2473,Hrushikesha Mohanty,True,R. K. Ghosh,False,9,2002,2009
2361,V. N. Sastry,False,Atul Negi,True,9,2004,2018
1148,Satish Narayana Srirama,True,Carlos Paniagua,False,8,2011,2014
1383,Arun Kumar Das,True,Joydeep Mukherjee,False,8,2019,2025
2094,Arun K. Pujari,True,Bulusu Lakshmana Deekshatulu,False,8,2004,2007
2779,Arun Agarwal,True,Khushboo Jain,False,8,2021,2023
1214,Rahul Kumar Gautam,False,S. Durga Bhavani,True,8,2020,2025
1213,Anjeneya Swami Kare,True,Rahul Kumar Gautam,False,8,2020,2025
2085,Chakravarthy Bhagvati,True,Bulusu Lakshmana Deekshatulu,False,8,2004,2011
439,Satish Narayana Srirama,True,Shivananda R. Poojara,False,8,2021,2024
106,Siba K. Udgata,True,Shaik Shakeel Ahamad,False,8,2012,2016
2060,Raju S. Bapi,False,T. Sobha Rani,True,8,2003,2011
716,Satish Narayana Srirama,True,Jakob Mass,False,8,2014,2020
1354,P. S. V. S. Sai Prasad,True,Anil Kumar,False,8,2019,2025
2269,V. Ch. Venkaiah,True,Appala Naidu Tentu,False,8,2013,2021
1215,Anjeneya Swami Kare,True,S. Durga Bhavani,True,8,2020,2025
206,Avatharam Ganivada,True,Sankar K. Pal,False,8,2010,2017
7,Alok Singh,True,Venkatesh Pandiri,False,8,2016,2024
2173,Y. V. Subba Rao,True,N. Rukma Rekha,True,7,2011,2024
2663,Arun K. Pujari,True,Sandeep Kumar Sahu,False,7,2015,2018
2664,Vineet Padmanabhan,True,Sandeep Kumar Sahu,False,7,2015,2018
2242,S. Durga Bhavani,True,T. Jaya Lakshmi,False,7,2014,2024
1568,Vineet Padmanabhan,True,Akshay Badola,False,7,2018,2025
2621,Arun K. Pujari,True,Sowmini Devi Veeramachaneni,False,7,2016,2023
30,Alok Singh,True,Sachchida Nand Chaurasia,False,7,2014,2017
2461,Hrushikesha Mohanty,True,Sapna P. G.,False,7,2007,2011
1219,Anjeneya Swami Kare,True,N. R. Aravind,False,7,2016,2022
2571,Chakravarthy Bhagvati,True,R. Padmavathy,False,7,2009,2015
1120,Satish Narayana Srirama,True,Sea Ling,False,7,2012,2015
123,Siba K. Udgata,True,V. N. Sastry,False,7,2012,2015
2093,Arun K. Pujari,True,Chakravarthy Bhagvati,True,6,2004,2007
11,Alok Singh,True,Gaurav Srivastava,False,6,2018,2023
2405,Chakravarthy Bhagvati,True,P. Pavan Kumar,False,6,2011,2018
2407,Arun Agarwal,True,P. Pavan Kumar,False,6,2011,2018
2409,Arun Agarwal,True,Chakravarthy Bhagvati,True,6,2011,2018
2460,Hrushikesha Mohanty,True,R. K. Shyamasundar,False,6,2003,2012
1104,Satish Narayana Srirama,True,Eero Vainikko,False,6,2010,2016
2185,Abdul Basit,False,V. Ch. Venkaiah,True,6,2017,2020
1212,Sangam Balchandar Reddy,False,Anjeneya Swami Kare,True,6,2023,2026
1121,Satish Narayana Srirama,True,Vladimir Sor,False,6,2011,2015
1351,P. S. V. S. Sai Prasad,True,Pandu Sowkuntla,False,6,2019,2025
47,Alok Singh,True,Ashok Kumar Gupta,False,6,2005,2007
1636,Bapi Raju Surampudi,True,Manish Gupta,False,6,2022,2025
1627,Bapi Raju Surampudi,True,Subba Reddy Oota,False,6,2022,2025
140,Siba K. Udgata,True,Layak Ali,False,6,2009,2012
136,Siba K. Udgata,True,S. Mini,False,6,2009,2013
249,Arun Agarwal,True,Rajkumar Buyya,False,6,2013,2017
2714,Arun K. Pujari,True,A. R. Dani,False,6,2005,2007
187,Vineet Padmanabhan,True,Rajendra Prasad Lal,True,6,2015,2025
5,Alok Singh,True,Rammohan Mallipeddi,False,6,2019,2025
181,Vineet Padmanabhan,True,Prasad Bhavana,False,6,2019,2025
1561,Rajeev Wankar,True,Jitendra Kumar Rai,False,5,2009,2011
2566,Chakravarthy Bhagvati,True,Ilaiah Kavati,False,5,2013,2017
183,Wilson Naik Bhukya,True,Vineet Padmanabhan,True,5,2011,2024
2001,Bapi Raju Surampudi,True,Vadlamani Ravi,False,5,2009,2014
435,Satish Narayana Srirama,True,Hina Anwar,False,5,2018,2025
1151,Satish Narayana Srirama,True,Ilja Kromonov,False,5,2011,2014
2933,Salman Abdul Moiz,True,N. Md. Jubair Basha,False,5,2012,2014
203,Avatharam Ganivada,True,Rajarshi Pal,False,5,2021,2023
2708,Arun K. Pujari,True,Sanjay Rawat,False,5,2004,2007
588,Satish Narayana Srirama,True,Giuliano Casale,False,5,2017,2022
2376,Atul Negi,True,Vijaya Kumar Kadappa,False,5,2010,2016
284,Rajeev Wankar,True,Rafah M. Almuttairi,False,5,2010,2013
2,Alok Singh,True,Edukondalu Chappidi,False,5,2022,2025
1560,Atul Negi,True,Jitendra Kumar Rai,False,5,2009,2011
202,Avatharam Ganivada,True,Shadab Ahmad,False,5,2021,2023
294,Rajeev Wankar,True,Mustafa Kaiiali,False,5,2010,2017
1541,Rajeev Wankar,True,B. M. Mehtre,False,5,2021,2024
2567,Munaga V. N. K. Prasad,False,Chakravarthy Bhagvati,True,5,2013,2017
442,Satish Narayana Srirama,True,Praveen Kumar Donta,False,5,2022,2024
2576,Chakravarthy Bhagvati,True,Haritha Dasari,False,5,2005,2007
436,Satish Narayana Srirama,True,Dietmar Pfahl,False,5,2018,2025
497,Satish Narayana Srirama,True,Abhishek Hazra,False,5,2020,2023
2061,S. Durga Bhavani,True,Raju S. Bapi,False,5,2003,2011
1540,Rajeev Wankar,True,N. D. Patel,False,5,2021,2024
2938,Salman Abdul Moiz,True,Lakshmi Rajamani,False,5,2007,2010
