id,title,normalized_title,dblp_key,publication_type,year,journal,booktitle,volume,number,pages,publisher,series,editor,url,doi,ee,biburl,bibsource,abstract,keywords,timestamp,citation_count,has_faculty_author,author_count,source_pid,source_pids,created_at,updated_at
1,Minimum-cardinality global defensive alliances in general graphs,minimumcardinality global defensive alliances in general graphs,DBLP:journals/anor/RossiS25,article,2025,Ann. Oper. Res.,,349,3,1891--1931,,,,https://doi.org/10.1007/s10479-025-06571-2,10.1007/S10479-025-06571-2,,https://dblp.org/rec/journals/anor/RossiS25.bib,"dblp computer science bibliography, https://dblp.org",,,"Mon, 30 Jun 2025 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.305385,2026-01-31 22:35:55.320769
2,"Solution of reliable p-median problem with at-facility service using
multi-start hyper-heuristic approaches",solution of reliable pmedian problem with atfacility service using multistart hyperheuristic approaches,DBLP:journals/apin/ChappidiS25,article,2025,Appl. Intell.,,55,6,435,,,,https://doi.org/10.1007/s10489-024-05995-w,10.1007/S10489-024-05995-W,,https://dblp.org/rec/journals/apin/ChappidiS25.bib,"dblp computer science bibliography, https://dblp.org",,,"Thu, 27 Feb 2025 00:00:00 +0100",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.332715,2026-01-31 22:35:55.336792
3,"A swarm intelligence approach to minimum weight independent dominating
set problem",a swarm intelligence approach to minimum weight independent dominating set problem,DBLP:journals/cee/RasheedSM25,article,2025,Comput. Electr. Eng.,,123,,110222,,,,https://doi.org/10.1016/j.compeleceng.2025.110222,10.1016/J.COMPELECENG.2025.110222,,https://dblp.org/rec/journals/cee/RasheedSM25.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 01 Apr 2025 01:00:00 +0200",0,True,3,01/1744-1,01/1744-1,2026-01-31 22:35:55.342623,2026-01-31 22:35:55.347143
4,"Solution of minimum general partial dominating set problem through
heuristic approaches",solution of minimum general partial dominating set problem through heuristic approaches,DBLP:journals/cee/RasheedS25,article,2025,Comput. Electr. Eng.,,125,,110427,,,,https://doi.org/10.1016/j.compeleceng.2025.110427,10.1016/J.COMPELECENG.2025.110427,,https://dblp.org/rec/journals/cee/RasheedS25.bib,"dblp computer science bibliography, https://dblp.org",,,"Sun, 06 Jul 2025 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.357217,2026-01-31 22:35:55.362713
5,"An evolution strategy with tailor-made mutation operator for colored
balanced traveling salesman problem",an evolution strategy with tailormade mutation operator for colored balanced traveling salesman problem,DBLP:journals/apin/MajumderS24,article,2024,Appl. Intell.,,54,8,6125--6137,,,,https://doi.org/10.1007/s10489-024-05473-3,10.1007/S10489-024-05473-3,,https://dblp.org/rec/journals/apin/MajumderS24.bib,"dblp computer science bibliography, https://dblp.org",,,"Sun, 04 Aug 2024 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.363005,2026-01-31 22:35:55.365848
6,"Solution of maximum scatter traveling salesman problem through evolutionary
approaches",solution of maximum scatter traveling salesman problem through evolutionary approaches,DBLP:journals/asc/SinghM24,article,2024,Appl. Soft Comput.,,163,,111858,,,,https://doi.org/10.1016/j.asoc.2024.111858,10.1016/J.ASOC.2024.111858,,https://dblp.org/rec/journals/asc/SinghM24.bib,"dblp computer science bibliography, https://dblp.org",,,"Fri, 02 Aug 2024 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.370644,2026-01-31 22:35:55.376513
7,"Solution of the family traveling salesman problem using a hyper-heuristic
approach",solution of the family traveling salesman problem using a hyperheuristic approach,DBLP:journals/eaai/PandiriS24,article,2024,Eng. Appl. Artif. Intell.,,133,,108193,,,,https://doi.org/10.1016/j.engappai.2024.108193,10.1016/J.ENGAPPAI.2024.108193,,https://dblp.org/rec/journals/eaai/PandiriS24.bib,"dblp computer science bibliography, https://dblp.org",,,"Fri, 31 May 2024 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.377014,2026-01-31 22:35:55.379972
8,"A diversity preserving genetic algorithm with tailor-made variation
operators for the quadratic bottleneck knapsack problem",a diversity preserving genetic algorithm with tailormade variation operators for the quadratic bottleneck knapsack problem,DBLP:journals/evi/PatelS24,article,2024,Evol. Intell.,,17,3,1953--1965,,,,https://doi.org/10.1007/s12065-023-00875-7,10.1007/S12065-023-00875-7,,https://dblp.org/rec/journals/evi/PatelS24.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 11 Jun 2024 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.384828,2026-01-31 22:35:55.387695
9,"A General Variable Neighborhood Search Approach for the Clustered
Traveling Salesman Problem with d-Relaxed Priority Rule",a general variable neighborhood search approach for the clustered traveling salesman problem with drelaxed priority rule,DBLP:conf/icdcit/DasariSM24,conference,2024,,"Distributed Computing and Intelligent Technology - 20th International
Conference, ICDCIT 2024, Bhubaneswar, India, January 17-20, 2024,
Proceedings",14501,,356--370,Springer,Lecture Notes in Computer Science,"Stéphane Devismes, Partha Sarathi Mandal, Vijaya Saradhi Vedula, Bhanu Prasad, Anisur Rahaman Molla, Gokarna Sharma",https://doi.org/10.1007/978-3-031-50583-6_24,10.1007/978-3-031-50583-6_24,,https://dblp.org/rec/conf/icdcit/DasariSM24.bib,"dblp computer science bibliography, https://dblp.org",,,"Fri, 09 Jan 2026 09:11:20 +0100",0,True,3,01/1744-1,01/1744-1,2026-01-31 22:35:55.392062,2026-01-31 22:35:55.395111
10,"A hyper-heuristic based approach with naive Bayes classifier for the
reliability p-median problem",a hyperheuristic based approach with naive bayes classifier for the reliability pmedian problem,DBLP:journals/apin/ChappidiS23,article,2023,Appl. Intell.,,53,22,27269--27289,,,,https://doi.org/10.1007/s10489-023-04983-w,10.1007/S10489-023-04983-W,,https://dblp.org/rec/journals/apin/ChappidiS23.bib,"dblp computer science bibliography, https://dblp.org",,,"Thu, 09 Nov 2023 00:00:00 +0100",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.404014,2026-01-31 22:35:55.410441
