id,name,venue_type,abbreviation,publisher,total_publications,faculty_publications,created_at,updated_at
1,Ann. Oper. Res.,journal,,,1,1,2026-01-31 22:35:55.303259,2026-01-31 22:35:55.321631
16,"IEEE Congress on Evolutionary Computation, CEC 2019, Wellington,
New Zealand, June 10-13, 2019",conference,,IEEE,1,1,2026-01-31 22:35:55.635138,2026-01-31 22:35:55.640609
21,Int. J. Metaheuristics,journal,,,1,1,2026-01-31 22:35:55.753523,2026-01-31 22:35:55.760136
6,Evol. Intell.,journal,,,5,5,2026-01-31 22:35:55.384380,2026-01-31 22:35:56.261015
13,"IEEE Congress on Evolutionary Computation, CEC 2021, Kraków,
Poland, June 28 - July 1, 2021",conference,,IEEE,2,2,2026-01-31 22:35:55.546235,2026-01-31 22:35:56.940280
7,"Distributed Computing and Intelligent Technology - 20th International
Conference, ICDCIT 2024, Bhubaneswar, India, January 17-20, 2024,
Proceedings",conference,,Springer,3,3,2026-01-31 22:35:55.391613,2026-01-31 22:36:06.066887
9,"Distributed Computing and Intelligent Technology - 19th International
Conference, ICDCIT 2023, Bhubaneswar, India, January 18-22, 2023,
Proceedings",conference,,Springer,3,3,2026-01-31 22:35:55.437726,2026-01-31 22:36:06.293611
17,"Pattern Recognition and Machine Intelligence - 8th International Conference,
PReMI 2019, Tezpur, India, December 17-20, 2019, Proceedings, Part
I",conference,,Springer,6,6,2026-01-31 22:35:55.647224,2026-01-31 22:36:06.332492
15,Neural Comput. Appl.,journal,,,5,5,2026-01-31 22:35:55.607648,2026-01-31 22:36:06.912388
508,"2011 International Conference on Document Analysis and Recognition,
ICDAR 2011, Beijing, China, September 18-21, 2011",conference,,IEEE Computer Society,2,2,2026-01-31 22:36:07.224134,2026-01-31 22:36:07.251159
509,"20th International Conference on Pattern Recognition, ICPR 2010,
Istanbul, Turkey, 23-26 August 2010",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:07.251365,2026-01-31 22:36:07.255616
510,"Proceedings of the Second International Conference on Emerging Trends
in Engineering & Technology, ICETET 2009, Nagpur, Maharashtra,
India, 16-18 December 2009",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:07.267006,2026-01-31 22:36:07.270959
512,"Proceedings of the IAPR Conference on Machine Vision Applications
(IAPR MVA 2007), May 16-18, 2007, Tokyo, Japan",conference,,,1,1,2026-01-31 22:36:07.286354,2026-01-31 22:36:07.291100
513,"First IEEE International Conference on Digital Information Management
(ICDIM), December 6-8, 2006, Christ College, Bangalore, India, Proceedings",conference,,IEEE,1,1,2026-01-31 22:36:07.316909,2026-01-31 22:36:07.320622
514,"A Conference on a Human Scale. 11th Americas Conference on Information
Systems, AMCIS 2005, Omaha, Nebraska, USA, August 11-14, 2005",conference,,Association for Information Systems,1,1,2026-01-31 22:36:07.340047,2026-01-31 22:36:07.343731
515,"First International Conference on e-Science and Grid Technologies
(e-Science 2005), 5-8 December 2005, Melbourne, Australia",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:07.350912,2026-01-31 22:36:07.358526
518,"7th International Symposium on Parallel Architectures, Algorithms,
and Networks (I-SPAN 2004), 10-12 May 2004, Hong Kong, SAR, China",conference,,IEEE Computer Society,1,1,2026-01-31 22:36:07.385734,2026-01-31 22:36:07.389201
3,Comput. Electr. Eng.,journal,,,3,3,2026-01-31 22:35:55.342050,2026-01-31 22:36:07.861423
507,J. Comput.,journal,,,2,2,2026-01-31 22:36:07.208829,2026-01-31 22:36:08.179856
516,"Eighth International Conference on Document Analysis and Recognition
(ICDAR 2005), 29 August - 1 September 2005, Seoul, Korea",conference,,IEEE Computer Society,2,2,2026-01-31 22:36:07.358759,2026-01-31 22:36:08.247326
511,Pattern Recognit. Lett.,journal,,,12,12,2026-01-31 22:36:07.281731,2026-01-31 22:36:09.537345
8,Expert Syst. Appl.,journal,,,9,9,2026-01-31 22:35:55.425310,2026-01-31 22:36:09.797636
517,"Intelligent Information Technology, 7th International Conference on
Information Technology, CIT 2004, Hyderabad, India, December 20-23,
2004, Proceedings",conference,,Springer,2,2,2026-01-31 22:36:07.375895,2026-01-31 22:36:09.915375
504,Pattern Recognit.,journal,,,6,6,2026-01-31 22:36:07.164857,2026-01-31 22:36:10.010114
19,"Distributed Computing and Internet Technology - 14th International
Conference, ICDCIT 2018, Bhubaneswar, India, January 11-13, 2018,
Proceedings",conference,,Springer,4,4,2026-01-31 22:35:55.685335,2026-01-31 22:36:10.075132
23,"Ninth International Conference on Contemporary Computing, IC3 2016,
Noida, India, August 11-13, 2016",conference,,IEEE Computer Society,1,1,2026-01-31 22:35:55.775950,2026-01-31 22:35:55.785454
25,IEEE Syst. J.,journal,,,1,1,2026-01-31 22:35:55.808826,2026-01-31 22:35:55.814141
26,"Swarm, Evolutionary, and Memetic Computing - 6th International Conference,
SEMCCO 2015, Hyderabad, India, December 18-19, 2015, Revised Selected
Papers",conference,,Springer,1,1,2026-01-31 22:35:55.814411,2026-01-31 22:35:55.822886
28,"Swarm, Evolutionary, and Memetic Computing - 5th International Conference,
SEMCCO 2014, Bhubaneswar, India, December 18-20, 2014, Revised Selected
Papers",conference,,Springer,2,2,2026-01-31 22:35:55.835059,2026-01-31 22:35:55.849519
29,"2014 IEEE Symposium on Swarm Intelligence, SIS 2014, Orlando,
FL, USA, December 9-12, 2014",conference,,IEEE,1,1,2026-01-31 22:35:55.849775,2026-01-31 22:35:55.854047
30,Ad Hoc Networks,journal,,,1,1,2026-01-31 22:35:55.857462,2026-01-31 22:35:55.861806
31,Eur. J. Oper. Res.,journal,,,1,1,2026-01-31 22:35:55.873424,2026-01-31 22:35:55.882425
32,"International Conference on Advances in Computing, Communications
and Informatics, ICACCI 2013, Mysore, India, August 22-25, 2013",conference,,IEEE,1,1,2026-01-31 22:35:55.888161,2026-01-31 22:35:55.893604
34,"Proceedings of the Third International Conference on Soft Computing
for Problem Solving - SocProS 2013, Volume 1, Greater Noida Extension
Centre, IIT Roorkee, India, December 26-28, 2013",conference,,Springer,1,1,2026-01-31 22:35:55.901376,2026-01-31 22:35:55.904580
14,Int. J. Mach. Learn. Cybern.,journal,,,4,4,2026-01-31 22:35:55.566852,2026-01-31 22:35:55.929876
36,Networks,journal,,,1,1,2026-01-31 22:35:55.938029,2026-01-31 22:35:55.946115
20,Oper. Res.,journal,,,2,2,2026-01-31 22:35:55.736654,2026-01-31 22:35:55.951405
12,Swarm Evol. Comput.,journal,,,3,3,2026-01-31 22:35:55.532972,2026-01-31 22:35:55.956619
39,"Network Optimization - 5th International Conference, INOC 2011,
Hamburg, Germany, June 13-16, 2011. Proceedings",conference,,Springer,1,1,2026-01-31 22:35:55.986875,2026-01-31 22:35:55.993977
33,"Swarm, Evolutionary, and Memetic Computing - 4th International Conference,
SEMCCO 2013, Chennai, India, December 19-21, 2013, Proceedings,
Part II",conference,,Springer,2,2,2026-01-31 22:35:55.893863,2026-01-31 22:35:56.476543
24,Int. J. Bio Inspired Comput.,journal,,,3,3,2026-01-31 22:35:55.796389,2026-01-31 22:35:57.707282
40,"Swarm, Evolutionary, and Memetic Computing - Second International
Conference, SEMCCO 2011, Visakhapatnam, Andhra Pradesh, India, December
19-21, 2011, Proceedings, Part II",conference,,Springer,3,3,2026-01-31 22:35:56.004516,2026-01-31 22:36:05.331239
37,"Contemporary Computing - 5th International Conference, IC3 2012,
Noida, India, August 6-8, 2012. Proceedings",conference,,Springer,6,6,2026-01-31 22:35:55.956859,2026-01-31 22:36:09.096653
18,Inf. Sci.,journal,,,13,13,2026-01-31 22:35:55.665091,2026-01-31 22:36:09.144962
27,"2014 International Conference on Advances in Computing, Communications
and Informatics, ICACCI 2014, Delhi, India, September 24-27, 2014",conference,,IEEE,3,3,2026-01-31 22:35:55.828891,2026-01-31 22:36:09.831542
639,Document Image Analysis,conference,,World Scientific,1,1,2026-01-31 22:36:09.993047,2026-01-31 22:36:10.004551
640,"AI 2022: Advances in Artificial Intelligence - 35th Australasian
Joint Conference, AI 2022, Perth, WA, Australia, December 5-8, 2022,
Proceedings",conference,,Springer,1,1,2026-01-31 22:36:10.015564,2026-01-31 22:36:10.019544
2,Appl. Intell.,journal,,,19,19,2026-01-31 22:35:55.331912,2026-01-31 22:36:10.052256
641,"Advances in Artificial Intelligence - 32nd Canadian Conference on
Artificial Intelligence, Canadian AI 2019, Kingston, ON, Canada,
May 28-31, 2019, Proceedings",conference,,Springer,1,1,2026-01-31 22:36:10.052533,2026-01-31 22:36:10.057255
642,"PRICAI 2019: Trends in Artificial Intelligence - 16th Pacific Rim
International Conference on Artificial Intelligence, Cuvu, Yanuca
Island, Fiji, August 26-30, 2019, Proceedings, Part II",conference,,Springer,1,1,2026-01-31 22:36:10.057479,2026-01-31 22:36:10.062269
643,"Proceedings of the 1st Workshop on Intelligent Recommender Systems
by Knowledge Transfer & Learning co-located with ACM Conference
on Recommender Systems (RecSys 2017), Como, Italy, August 27, 2017",conference,,CEUR-WS.org,1,1,2026-01-31 22:36:10.085527,2026-01-31 22:36:10.089839
644,"Proceedings of the 6th International Conference on Ambient Systems,
Networks and Technologies (ANT 2015), the 5th International Conference
on Sustainable Energy Information Technology (SEIT-2015), London,
UK, June 2-5, 2015",conference,,Elsevier,1,1,2026-01-31 22:36:10.097449,2026-01-31 22:36:10.105113
645,"2014 International Conference on Information Technology, ICIT 2014,
Bhubaneswar, India, December 22-24, 2014",conference,,IEEE,1,1,2026-01-31 22:36:10.122042,2026-01-31 22:36:10.125765
646,"ICAART 2013 - Proceedings of the 5th International Conference on
Agents and Artificial Intelligence, Volume 2, Barcelona, Spain, 15-18
February, 2013",conference,,SciTePress,1,1,2026-01-31 22:36:10.136582,2026-01-31 22:36:10.140632
35,Comput. Oper. Res.,journal,,,2,2,2026-01-31 22:35:55.907859,2026-01-31 22:35:56.027164
42,"Contemporary Computing - Third International Conference, IC3 2010,
Noida, India, August 9-11, 2010. Proceedings, Part I",conference,,Springer,1,1,2026-01-31 22:35:56.033648,2026-01-31 22:35:56.044150
43,"Neural Information Processing. Theory and Algorithms - 17th International
Conference, ICONIP 2010, Sydney, Australia, November 22-25, 2010,
Proceedings, Part I",conference,,Springer,1,1,2026-01-31 22:35:56.044421,2026-01-31 22:35:56.050062
44,"Contemporary Computing - Second International Conference, IC3 2009,
Noida, India, August 17-19, 2009. Proceedings",conference,,Springer,1,1,2026-01-31 22:35:56.059486,2026-01-31 22:35:56.067335
