@pid,text
347/8698,Mohsin Furkh Dar
06/10134,Avatharam Ganivada
357/2399,Srinivas Yara
232/7343,Shadab Ahmad
18/2296,Rajarshi Pal
99/1547,Sheela Ramanna
p/SankarKPal,Sankar K. Pal
r/ShubhraSankarRay,Shubhra Sankar Ray
58/4984,Soumitra Dutta
154/0544,Raveen S.
23/2953,P. S. V. S. Sai Prasad
07/5281-1,Chillarige Raghavendra Rao
80/9766,Rama Devi Yellasiri
19/9767,P. Venu Gopal
10/2362,P. N. Girija
361/3616,Vadlamudi Aadarsh
88/6447-10,Anil Kumar 0010
253/9840,Pandu Sowkuntla
253/9908,Abhimanyu Bar
295/9491,Yelleti Vivek
285/5885,Sravya Dunna
295/9491,Vivek Yelleti
253/9794,Kiran Bandagar
98/6017,Salman Abdul Moiz
255/1939,Neeli Lakshmi Pavani
77/10593,K. Swarupa Rani
211/7551,U. Venkata Divya
190/4474,H. Bala Subrahmanyam
127/5330,Praveen Kumar Singh
192/5685,Shashikant Ilager
54/1876,Soumen Ghosh
07/5281-1,C. Raghavendra Rao 0001
06/9767,K. Hima Bindu
79/10595,Mohammed Hussein Shukur
51/1349,T. Sobha Rani
63/2890,S. Durga Bhavani
99/3843,G. Narahari Sastry
50/1424,Surampudi Bapi Raju
38/10603,B. Ravindra Reddy
50/1424,Raju S. Bapi
78/4454,Anuj Kumar
39/5747,Pramod Kumar Upadhyay
337/9103,S. Tejaswi
89/5270,V. N. Sastry
63/2890,Durga Bhavani S.
280/6293,Swati Katiyar
272/8952,Rahul Kumar Gautam
138/0168,Anjeneya Swami Kare
273/4291,Ramesh Bobby Addanki
367/2355,Sandhya Rani D
367/0197,Bala Krishna G
348/1137,Monachary Kammari
141/2142,T. Jaya Lakshmi
337/0924,Indu Rodda
255/9422,Anu Beniwal
124/2883,Gourav Roy
255/9894,M. Dhilber
132/8249,Ankur Sharma
253/9895,Ritwik Malla
234/0495,Vivek Singh Baghel
211/7559,Y. Divya Brahmani
86/10122,Prathuri Jhansi Rani
271/3044,Rodda Monica
177/2429,D. Shiva Shankar
173/8436,Jatharakonda Mallesham
124/3662,K. Suvarna Vani
152/3684,D. Sandhya Rani
140/2965,Mohamed Mustafa Faisan
117/9890,Saifuddin Kaijar
86/200,Somdatta Sinha
63/10193,Venkatesh Bandaru
